"","state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","fips","percent_incarcerated_20","percent_incarcerated_10","percent_incarcerated_00"
"291","OK","Noble County",10924,22,11561,18,11411,19,40103,0.201391431709996,0.155695874059337,0.166506002979581
"292","OK","Nowata County",9320,11,10536,48,10569,51,40105,0.118025751072961,0.455580865603645,0.482543286971331
"293","OK","Okfuskee County",11310,842,12191,855,11814,695,40107,7.4447391688771,7.0133705192355,5.88285085491789
"294","OK","Oklahoma County",796292,3622,718633,3896,660448,5175,40109,0.454858268072516,0.542140424945696,0.783559038713116
"295","OK","Okmulgee County",36706,351,40069,219,39685,93,40111,0.956246935105977,0.546557188849235,0.234345470580824
"296","OK","Osage County",45818,1197,47472,1290,44437,1310,40113,2.61251036710463,2.71739130434783,2.94799378895965
"297","OK","Ottawa County",30285,12,31848,139,33194,46,40115,0.0396235760277365,0.436448128610902,0.138579261312285
"298","OK","Pawnee County",15553,48,16577,42,16612,30,40117,0.308622130778628,0.253363093442722,0.180592342884662
"299","OK","Payne County",81646,1702,77350,882,68190,980,40119,2.08460916640129,1.14027149321267,1.43716087402845
"300","OK","Pittsburg County",43773,1475,45837,1858,43953,2082,40121,3.369657094556,4.053493902306,4.73687802880349
"301","OK","Pontotoc County",38065,51,37492,85,35143,60,40123,0.133981347694733,0.226715032540275,0.170731013288564
"302","OK","Pottawatomie County",72454,1431,69442,1245,65521,901,40125,1.97504623623264,1.79286310878143,1.37513163718502
"303","OK","Pushmataha County",10812,53,11572,13,11667,28,40127,0.490196078431373,0.112340131351538,0.239993143053056
"304","OK","Roger Mills County",3442,9,3647,11,3436,11,40129,0.261475886112725,0.301617768028517,0.320139697322468
"305","OK","Rogers County",95240,216,86905,191,70641,57,40131,0.226795464090718,0.21978021978022,0.0806896844608655
"306","OK","Seminole County",23556,92,25482,78,24894,50,40133,0.390558668704364,0.306098422415823,0.200851610829919
"307","OK","Sequoyah County",39281,64,42391,111,38972,51,40135,0.162928642346172,0.261848033780755,0.130863183824284
"308","OK","Stephens County",42848,148,45048,142,43182,75,40137,0.345407020164302,0.315219321612502,0.173683479227456
"309","OK","Texas County",21384,12,20640,57,20107,61,40139,0.0561167227833895,0.276162790697674,0.303376933406276
"310","OK","Tillman County",6968,23,7992,197,9287,128,40141,0.3300803673938,2.46496496496496,1.37827070097986
