"","state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","fips","percent_incarcerated_20","percent_incarcerated_10","percent_incarcerated_00"
"462","MO","Bollinger County",10567,24,12363,9,12029,11,29017,0.22712217280212,0.0727978645959719,0.0914456729570205
"463","MO","Boone County",183610,223,162642,255,135454,239,29019,0.121453079897609,0.156786070018814,0.176443663531531
"464","MO","Buchanan County",84793,1782,89201,2255,85998,2113,29021,2.10158857452856,2.52799856503851,2.45703388450894
"465","MO","Butler County",42130,30,42794,111,40867,163,29023,0.0712081652029433,0.259382156377062,0.398854821738811
"466","MO","Caldwell County",8815,111,9424,118,8969,1,29025,1.25921724333522,1.25212224108659,0.0111495149960977
"467","MO","Callaway County",44283,1472,44332,1579,40766,2431,29027,3.32407470135266,3.56176125597762,5.96330275229358
"468","MO","Camden County",42745,6,44002,108,37051,54,29029,0.01403672944204,0.245443388936866,0.145745054114599
"469","MO","Cape Girardeau County",81710,290,75674,54,68693,76,29031,0.35491371925101,0.0713587229431509,0.110637182827945
"470","MO","Carroll County",8495,0,9295,0,10285,30,29033,0,0,0.291686922702965
"471","MO","Carter County",5202,0,6265,0,5941,0,29035,0,0,0
"472","MO","Cass County",107824,102,99478,89,82092,65,29037,0.0945986051342929,0.0894670178330887,0.0791794571943673
"473","MO","Cedar County",14188,0,13982,7,13733,7,29039,0,0.050064368473752,0.0509721109735673
"474","MO","Chariton County",7408,22,7831,6,8438,9,29041,0.296976241900648,0.0766185672327927,0.106660346053567
"475","MO","Christian County",88842,93,77422,91,54285,9,29043,0.104680218815425,0.117537650796931,0.0165791655153357
"476","MO","Clark County",6634,16,7139,6,7416,4,29045,0.241181790774797,0.0840453845076341,0.0539374325782093
"477","MO","Clay County",253335,229,221939,294,184006,180,29047,0.0903941421438017,0.13246883152578,0.0978228970794431
"478","MO","Clinton County",21184,0,20743,0,18979,13,29049,0,0,0.0684967595763739
"479","MO","Cole County",77279,3410,75990,3524,71397,4521,29051,4.41258297855821,4.63745229635478,6.33219883188369
"480","MO","Cooper County",17103,864,17601,1282,16670,1699,29053,5.05174530784073,7.28367706380319,10.1919616076785
"481","MO","Crawford County",23056,89,24696,84,22804,32,29055,0.386016655100625,0.340136054421769,0.140326258551131
"482","MO","Dade County",7569,5,7883,4,7923,4,29057,0.0660589245607082,0.0507421032601801,0.0504859270478354
"483","MO","Dallas County",17071,34,16777,14,15661,15,29059,0.199168179954308,0.0834475770399952,0.0957793244364983
"484","MO","Daviess County",8430,70,8433,122,8016,0,29061,0.830367734282325,1.44669749792482,0
"485","MO","DeKalb County",11029,1723,12892,3386,11597,2629,29063,15.6224499047964,26.2643499844865,22.6696559455031
"486","MO","Dent County",14421,12,15657,6,14927,13,29065,0.0832119825254837,0.0383215175320943,0.0870905071347223
"487","MO","Douglas County",11578,26,13684,18,13084,3,29067,0.22456382794956,0.131540485238234,0.0229287679608682
"488","MO","Dunklin County",28283,94,31953,138,33155,77,29069,0.332355124986741,0.431884330109849,0.232242497360881
"489","MO","Franklin County",104682,102,101492,108,93807,103,29071,0.097437954949275,0.106412328065266,0.109799908322407
"490","MO","Gasconade County",14794,0,15222,0,15342,0,29073,0,0,0
"491","MO","Gentry County",6162,1,6738,0,6861,7,29075,0.0162284972411555,0,0.10202594373998
"492","MO","Greene County",298915,1477,275174,1658,240391,1549,29077,0.494120402121004,0.60252785510259,0.644366885615518
"493","MO","Grundy County",9808,0,10261,17,10432,5,29079,0,0.165675860052626,0.0479294478527607
"494","MO","Harrison County",8157,26,8957,14,8850,9,29081,0.31874463650852,0.156302333370548,0.101694915254237
"495","MO","Henry County",21946,0,22272,21,21997,35,29083,0,0.0942887931034483,0.159112606264491
"496","MO","Hickory County",8279,1,9627,9,8940,8,29085,0.0120787534726416,0.0934870676223123,0.0894854586129754
"497","MO","Holt County",4223,6,4912,10,5351,6,29087,0.14207909069382,0.203583061889251,0.112128574098299
"498","MO","Howard County",10151,15,10144,6,10212,10,29089,0.147768692739632,0.0591482649842271,0.0979240109674892
"499","MO","Howell County",39750,24,40400,46,37238,60,29091,0.060377358490566,0.113861386138614,0.161125731779365
"500","MO","Iron County",9537,18,10630,17,10697,12,29093,0.188738597043095,0.159924741298213,0.112180985322988
"501","MO","Jackson County",717204,1496,674158,1196,654880,1602,29095,0.208587793710018,0.177406483346634,0.244624969460054
"502","MO","Jasper County",122761,196,117404,269,104686,186,29097,0.159659826817963,0.229123368880106,0.177674187570449
"503","MO","Jefferson County",226739,150,218733,254,198099,132,29099,0.0661553592456525,0.116123310154389,0.0666333499916708
"504","MO","Johnson County",54013,123,52595,107,48258,38,29101,0.227722955584767,0.203441391767278,0.0787434207799743
"505","MO","Knox County",3744,0,4131,0,4361,0,29103,0,0,0
"506","MO","Laclede County",36039,76,35571,105,32513,90,29105,0.210882654901634,0.295184279328667,0.276812351982284
"507","MO","Lafayette County",32984,150,33381,97,32960,31,29107,0.454765947125879,0.290584464216171,0.0940533980582524
"508","MO","Lawrence County",38001,73,38634,27,35204,31,29109,0.192100207889266,0.0698866283584408,0.0880581752073628
"509","MO","Lewis County",10032,1,10211,8,10494,9,29111,0.00996810207336523,0.0783468808148076,0.0857632933104631
"510","MO","Lincoln County",59574,189,52566,65,38944,89,29113,0.317252492698157,0.123654072974927,0.228533278553821
"511","MO","Linn County",11874,0,12761,0,13754,0,29115,0,0,0
"512","MO","Livingston County",14557,1137,15195,1007,14558,535,29117,7.81067527649928,6.62717999341889,3.67495535100975
"513","MO","McDonald County",23303,25,23083,37,21681,23,29119,0.107282324164271,0.160291123337521,0.106083667727503
"514","MO","Macon County",15209,0,15566,0,15762,5,29121,0,0,0.0317218627077782
"515","MO","Madison County",12626,153,12226,17,11800,19,29123,1.21178520513227,0.13904793063962,0.161016949152542
"516","MO","Maries County",8432,0,9176,0,8903,9,29125,0,0,0.101089520386387
"517","MO","Marion County",28525,121,28781,119,28289,107,29127,0.42418930762489,0.413467217956291,0.378238891441903
"518","MO","Mercer County",3538,0,3785,0,3757,3,29129,0,0,0.079850944902848
"519","MO","Miller County",24722,72,24748,62,23564,130,29131,0.291238572930993,0.250525294973331,0.551689017144797
"520","MO","Mississippi County",12577,1280,14358,1722,13427,87,29133,10.1773077840503,11.99331383201,0.647948164146868
"521","MO","Moniteau County",15473,748,15607,1153,14827,1158,29135,4.834227363795,7.38771064266034,7.81007621231537
"522","MO","Monroe County",8666,16,8840,4,9311,6,29137,0.184629586891299,0.0452488687782805,0.0644399097841263
"523","MO","Montgomery County",11322,29,12236,85,12136,21,29139,0.256138491432609,0.69467146126185,0.173038892551088
"524","MO","Morgan County",21006,96,20565,78,19309,18,29141,0.457012282205084,0.37928519328957,0.0932207778756021
"525","MO","New Madrid County",16434,0,18956,45,19760,36,29143,0,0.237391854821692,0.182186234817814
"526","MO","Newton County",58648,98,58114,94,52636,50,29145,0.16709862228891,0.161751041057232,0.0949920206702637
"527","MO","Nodaway County",21241,470,23370,540,21912,537,29147,2.21270185019538,2.31065468549422,2.45071193866375
"528","MO","Oregon County",8635,11,10881,12,10344,2,29149,0.127388535031847,0.110283981251723,0.0193348801237432
"529","MO","Osage County",13274,0,13878,116,13062,4,29151,0,0.835855310563482,0.0306231817485837
"530","MO","Ozark County",8553,0,9723,0,9542,0,29153,0,0,0
"531","MO","Pemiscot County",15661,82,18296,32,20047,33,29155,0.523593640252857,0.174901617839965,0.164613159076171
"532","MO","Perry County",18956,28,18971,29,18132,34,29157,0.147710487444609,0.152864899056455,0.187513787778513
"533","MO","Pettis County",42980,156,42201,107,39403,41,29159,0.362959516053979,0.253548494111514,0.104052990889019
"534","MO","Phelps County",44638,411,45156,122,39825,38,29161,0.920740176531207,0.270174506156435,0.0954174513496547
"535","MO","Pike County",17587,1352,18516,1958,18351,1906,29163,7.6874964462387,10.5746381507885,10.3863549670318
"536","MO","Platte County",106718,58,89322,72,73781,90,29165,0.0543488446185273,0.0806072412171693,0.121982624252856
"537","MO","Polk County",31519,37,31137,25,26992,10,29167,0.11738951108855,0.080290329832675,0.0370480142264375
"538","MO","Pulaski County",53955,63,52274,20,41165,31,29169,0.116763969974979,0.0382599380189004,0.0753066925786469
"539","MO","Putnam County",4681,0,4979,0,5223,9,29171,0,0,0.172314761631246
"540","MO","Ralls County",10355,0,10167,0,9626,0,29173,0,0,0
"541","MO","Randolph County",24716,1611,25414,1792,24663,1831,29175,6.51804499109888,7.05123160462737,7.42407655191988
"542","MO","Ray County",23158,36,23494,81,23354,140,29177,0.155453838846187,0.344768877160126,0.599469041705918
"543","MO","Reynolds County",6096,11,6696,11,6689,5,29179,0.180446194225722,0.164277180406213,0.0747495888772612
"544","MO","Ripley County",10679,0,14100,0,13509,11,29181,0,0,0.0814271966836924
"545","MO","St. Charles County",405262,122,360485,358,283883,232,29183,0.0301039821152736,0.0993106509286101,0.0817238087521972
"546","MO","St. Clair County",9284,101,9805,98,9652,36,29185,1.08789314950452,0.99949005609383,0.372979693327808
"547","MO","Ste. Genevieve County",18479,466,18145,69,17842,87,29186,2.52178148168191,0.380270046844861,0.487613496244816
"548","MO","St. Francois County",66922,5111,65359,5413,55641,2712,29187,7.63724933504677,8.28195045823835,4.87410362861918
"549","MO","St. Louis County",1004125,1930,998954,2344,1016315,2319,29189,0.192207145524711,0.234645439129329,0.228177287553564
"550","MO","Saline County",23333,46,23370,46,23756,31,29195,0.197145673509622,0.196833547282841,0.130493349048661
"551","MO","Schuyler County",4032,0,4431,0,4170,0,29197,0,0,0
"552","MO","Scotland County",4716,0,4843,2,4983,4,29199,0,0.0412967169110056,0.0802729279550472
"553","MO","Scott County",38059,114,39191,100,40422,43,29201,0.29953493260464,0.255160623612564,0.106377715105636
"554","MO","Shannon County",7031,11,8441,6,8324,14,29203,0.156450007111364,0.0710816253998341,0.168188370975493
"555","MO","Shelby County",6103,2,6373,7,6799,2,29205,0.0327707684745207,0.109838380668445,0.0294160906015591
"556","MO","Stoddard County",28672,39,29968,57,29705,45,29207,0.136021205357143,0.19020288307528,0.151489648207372
"557","MO","Stone County",31076,0,32202,0,28658,30,29209,0,0,0.10468281108242
"558","MO","Sullivan County",5999,0,6714,0,7219,6,29211,0,0,0.0831140047097936
"559","MO","Taney County",56066,118,51675,102,39703,20,29213,0.210466236221596,0.197387518142235,0.0503740271516006
"560","MO","Texas County",24487,1505,26008,1644,23003,6,29215,6.14611834851145,6.32113195939711,0.0260835543190019
"561","MO","Vernon County",19707,91,21159,48,20454,12,29217,0.46176485512762,0.226853821069049,0.0586682311528307
"562","MO","Warren County",35532,87,32513,106,24525,56,29219,0.244849712934819,0.326023436779134,0.228338430173293
"563","MO","Washington County",23514,927,25195,926,23344,949,29221,3.94233222760908,3.67533240722366,4.06528444139822
"564","MO","Wayne County",10974,46,13521,14,13259,3,29223,0.419172589757609,0.103542637378892,0.0226261407345954
"565","MO","Webster County",39085,604,36202,653,31045,685,29225,1.54534987847,1.80376774763825,2.20647447253986
"566","MO","Worth County",1973,0,2171,0,2382,0,29227,0,0,0
"567","MO","Wright County",18188,64,18815,23,17955,14,29229,0.35188036067737,0.122242891310125,0.0779727095516569
"568","MO","St. Louis city",301578,1213,319294,1300,348189,1081,29510,0.402217668397562,0.407148270872613,0.310463570072576
"569","LA","Acadia Parish",57576,49,61773,260,58861,207,22001,0.0851049048214534,0.420895860651093,0.351675982399212
"570","LA","Allen Parish",22750,2747,25764,3949,25440,3903,22003,12.0747252747253,15.3275888837137,15.3419811320755
"571","LA","Ascension Parish",126500,311,107215,460,76627,209,22005,0.245849802371541,0.429044443408105,0.272749814034218
"572","LA","Assumption Parish",21039,85,23421,75,23388,57,22007,0.404011597509387,0.320225438708851,0.243714725500257
"573","LA","Avoyelles Parish",39693,2101,42073,2685,41481,2319,22009,5.29312473232056,6.38176502745229,5.59051131843495
"574","LA","Beauregard Parish",36549,904,35654,1087,32986,883,22011,2.47339188486689,3.04874628372693,2.67689322742982
"575","LA","Bienville Parish",12981,35,14353,44,15752,50,22013,0.269624836299207,0.306556120671637,0.31742001015744
"576","LA","Bossier Parish",128746,979,116979,312,98310,332,22015,0.76041197396424,0.266714538506912,0.337707252568406
"577","LA","Caddo Parish",237848,1214,254969,2194,252161,1800,22017,0.510410009754129,0.860496766273547,0.713829656449649
"578","LA","Calcasieu Parish",216785,1018,192768,1500,183577,1205,22019,0.469589685633231,0.778137450199203,0.656400311585874
"579","LA","Caldwell Parish",9645,586,10132,502,10560,527,22021,6.07568688439606,4.95459928938018,4.9905303030303
"580","LA","Cameron Parish",5617,24,6839,0,9991,23,22023,0.427274345736158,0,0.230207186467821
"581","LA","Catahoula Parish",8906,493,10407,793,10920,392,22025,5.53559398158545,7.61987124051119,3.58974358974359
"582","LA","Claiborne Parish",14170,1635,17195,2767,16851,924,22027,11.5384615384615,16.0918871765048,5.48335410361403
"583","LA","Concordia Parish",18687,746,20822,1311,20247,457,22029,3.99208005565366,6.29622514647969,2.25712451227342
"584","LA","De Soto Parish",26812,89,26656,98,25494,93,22031,0.331940921975235,0.367647058823529,0.364791715697811
"585","LA","East Baton Rouge Parish",456781,2008,440171,2364,412852,1740,22033,0.439597969267548,0.537064004670912,0.421458537199771
"586","LA","East Carroll Parish",7459,1595,7759,1067,9421,903,22035,21.3835634803593,13.7517721355845,9.58496974843435
"587","LA","East Feliciana Parish",19539,1750,20267,1562,21360,1686,22037,8.95644608219459,7.70711008042631,7.89325842696629
"588","LA","Evangeline Parish",32350,967,33984,1061,35434,1220,22039,2.98918083462133,3.12205743879473,3.44302082745386
"589","LA","Franklin Parish",19774,0,20767,351,21263,303,22041,0,1.69018153801705,1.42501058176175
"590","LA","Grant Parish",22169,2778,22309,2745,18698,28,22043,12.5310117731968,12.3044511183827,0.149748636217777
"591","LA","Iberia Parish",69929,374,73240,476,73266,385,22045,0.534828182871198,0.64991807755325,0.525482488466683
"592","LA","Iberville Parish",30241,2225,33387,3533,33320,3100,22047,7.35756092721802,10.5819630395064,9.30372148859544
"593","LA","Jackson Parish",15031,499,16274,816,15397,21,22049,3.31980573481472,5.01413297284011,0.136390205884263
"594","LA","Jefferson Parish",440781,930,432552,943,455466,691,22051,0.210989130656721,0.218008470657863,0.151712751335994
"595","LA","Jefferson Davis Parish",32250,244,31594,120,31435,74,22053,0.756589147286822,0.379818952965753,0.235406394146652
"596","LA","Lafayette Parish",241753,1339,221578,1082,190503,901,22055,0.553871099841574,0.488315627002681,0.472958431100823
"597","LA","Lafourche Parish",97557,543,96318,361,89974,190,22057,0.556597681355515,0.374800141198945,0.211172116389179
"598","LA","LaSalle Parish",14791,1819,14890,1044,14282,470,22059,12.298019065648,7.01141705842848,3.29085562246184
"599","LA","Lincoln Parish",48396,243,46735,203,42509,91,22061,0.502107612199355,0.434363967048251,0.214072314098191
"600","LA","Livingston Parish",142282,541,128026,524,91814,142,22063,0.380230809237992,0.409291862590411,0.154660509290522
"601","LA","Madison Parish",10017,600,12093,1430,13728,602,22065,5.98981731057203,11.8250227404283,4.38519813519814
"602","LA","Morehouse Parish",25629,864,27979,485,31021,441,22067,3.37118108392836,1.73344293934737,1.42161761387447
"603","LA","Natchitoches Parish",37515,617,39566,461,39080,314,22069,1.64467546314807,1.16514178840419,0.803480040941658
"604","LA","Orleans Parish",383997,1721,343829,3749,484674,6160,22071,0.448180584744152,1.09036759551987,1.27095738578921
"605","LA","Ouachita Parish",160368,2503,153720,2112,147250,763,22073,1.56078519405368,1.37392661982826,0.518166383701189
"606","LA","Plaquemines Parish",23515,500,23042,26,26757,311,22075,2.12630236019562,0.112837427306657,1.16231266584445
"607","LA","Pointe Coupee Parish",20758,0,22802,0,22763,106,22077,0,0,0.465667969951237
"608","LA","Rapides Parish",130023,758,131613,1547,126337,1448,22079,0.582973781561724,1.17541580239034,1.14614087717771
"609","LA","Red River Parish",7620,37,9091,75,9622,60,22081,0.485564304461942,0.824991750082499,0.623570983163584
"610","LA","Richland Parish",20043,651,20725,708,20981,670,22083,3.24801676395749,3.41616405307599,3.19336542586149
"611","LA","Sabine Parish",22155,120,24233,165,23459,118,22085,0.541638456330399,0.680889695869269,0.503005243190247
"612","LA","St. Bernard Parish",43764,155,35897,228,67229,296,22087,0.354172379124394,0.635150569685489,0.440286186020914
"613","LA","St. Charles Parish",52549,432,52780,504,48072,95,22089,0.822089858988753,0.954907161803713,0.197620236312198
"614","LA","St. Helena Parish",10920,36,11203,47,10525,0,22091,0.32967032967033,0.419530482906364,0
"615","LA","St. James Parish",20192,45,22102,92,21216,83,22093,0.222860538827258,0.416251922902905,0.391214177978884
"616","LA","St. John the Baptist Parish",42477,155,45924,226,43044,315,22095,0.364903359465122,0.492117411375316,0.731809311402286
"617","LA","St. Landry Parish",82540,307,83384,274,87700,299,22097,0.371940877150473,0.328600211071668,0.340935005701254
"618","LA","St. Martin Parish",51767,29,52160,448,48583,420,22099,0.0560202445573435,0.858895705521472,0.864499927958339
"619","LA","St. Mary Parish",49406,282,54650,443,53500,267,22101,0.570780876816581,0.810612991765782,0.499065420560748
"620","LA","St. Tammany Parish",264570,319,233740,118,191268,550,22103,0.120573005253808,0.0504834431419526,0.287554635380722
"621","LA","Tangipahoa Parish",133157,904,121097,612,100588,537,22105,0.678897842396569,0.505379984640412,0.533860897920229
"622","LA","Tensas Parish",4147,0,5252,16,6618,421,22107,0,0.304645849200305,6.36143850105772
"623","LA","Terrebonne Parish",109580,505,111860,789,104503,540,22109,0.460850520167914,0.705345968174504,0.516731577083911
"624","LA","Union Parish",21107,150,22721,340,22803,130,22111,0.710664708390581,1.49641300999076,0.570100425382625
"625","LA","Vermilion Parish",57359,0,57999,0,53807,155,22113,0,0,0.288066608433847
"626","LA","Vernon Parish",48750,103,52334,94,52531,277,22115,0.211282051282051,0.179615546298773,0.527307684986008
"627","LA","Washington Parish",45463,1454,47168,1302,43926,1306,22117,3.1982051338451,2.7603459972863,2.9731821700132
"628","LA","Webster Parish",36967,0,41207,709,41831,278,22119,0,1.72058145460723,0.664578900815185
"629","LA","West Baton Rouge Parish",27199,517,23788,446,21601,436,22121,1.90080517666091,1.87489490499411,2.01842507291329
"630","LA","West Carroll Parish",9751,0,11604,378,12314,579,22123,0,3.25749741468459,4.70196524281306
"631","LA","West Feliciana Parish",15310,5284,15625,5171,15111,5022,22125,34.5133899412149,33.0944,33.2340678975581
"632","LA","Winn Parish",13755,1322,15313,1520,16894,1529,22127,9.61105052708106,9.92620649121661,9.05055049129868
"633","UT","Beaver County",7072,344,6629,14,6005,158,49001,4.86425339366516,0.211193241816262,2.63114071606994
"634","UT","Box Elder County",57666,88,49975,116,42745,122,49003,0.152602920264974,0.232116058029014,0.285413498654813
"635","UT","Cache County",133154,201,112656,312,91391,66,49005,0.150953031827808,0.276949296974862,0.0722171767460691
"636","UT","Carbon County",20412,58,21403,93,20422,49,49007,0.284146580442877,0.434518525440359,0.239937322495348
"637","UT","Daggett County",935,0,1059,63,921,77,49009,0,5.94900849858357,8.36047774158523
"638","UT","Davis County",362679,324,306479,675,238994,542,49011,0.089335197240535,0.220243475083122,0.226783935998393
"639","UT","Duchesne County",19596,91,18607,152,14371,175,49013,0.464380485813431,0.81689686677057,1.21773015099854
"640","UT","Emery County",9825,0,10976,0,10860,19,49015,0,0,0.174953959484346
"641","UT","Garfield County",5083,60,5172,97,4735,94,49017,1.18040527247688,1.87548337200309,1.98521647307286
"642","UT","Grand County",9669,34,9225,33,8485,31,49019,0.351639259489089,0.357723577235772,0.365350618738951
"643","UT","Iron County",57289,120,46163,136,33779,103,49021,0.20946429506537,0.294608236033187,0.30492317712188
"644","UT","Juab County",11786,33,10246,36,8238,18,49023,0.279993212285763,0.351356626976381,0.21849963583394
"645","UT","Kane County",7667,163,7125,22,6046,6,49025,2.12599452197731,0.308771929824561,0.0992391663910023
"646","UT","Millard County",12975,52,12503,18,12405,86,49027,0.400770712909441,0.14396544829241,0.693268843208384
"647","UT","Morgan County",12295,0,9469,0,7129,0,49029,0,0,0
"648","UT","Piute County",1438,0,1556,0,1435,0,49031,0,0,0
"649","UT","Rich County",2510,4,2264,1,1961,1,49033,0.159362549800797,0.0441696113074205,0.0509943906170321
"650","UT","Salt Lake County",1185238,5128,1029655,6327,898387,5791,49035,0.432655719779487,0.614477664848906,0.644599710369807
"651","UT","San Juan County",14518,73,14746,84,14413,79,49037,0.502824080451853,0.56964600569646,0.548116283910359
"652","UT","Sanpete County",28437,1737,27822,1601,22763,808,49039,6.10823926574533,5.75443893321832,3.54961999736414
"653","UT","Sevier County",21522,91,20802,99,18842,210,49041,0.422823157699099,0.475915777329103,1.11453136609702
"654","UT","Summit County",42357,28,36324,70,29736,43,49043,0.0661047760700711,0.192710053958815,0.144605864944848
"655","UT","Tooele County",72698,199,58218,134,40735,90,49045,0.27373517840931,0.230169363427119,0.220940223395115
"656","UT","Uintah County",35620,12,32588,98,25224,107,49047,0.0336889387984278,0.300724192954462,0.424199175388519
"657","UT","Utah County",659399,447,516564,744,368536,369,49049,0.0677890018031571,0.144028619880596,0.100125903575227
"658","UT","Wasatch County",34788,71,23530,219,15215,82,49051,0.204093365528343,0.930726731831704,0.538941833716727
"659","UT","Washington County",180279,420,138115,442,90354,346,49053,0.232972226382441,0.320023169098215,0.382938220776059
"660","UT","Wayne County",2486,0,2778,0,2509,0,49055,0,0,0
"661","UT","Weber County",262223,902,231236,1080,196533,449,49057,0.343982030561774,0.467055302807521,0.228460360346608
"662","AZ","Apache County",66021,379,71518,428,69423,522,4001,0.574059768861423,0.598450739673928,0.751912190484422
"663","AZ","Cochise County",125447,2265,131346,2780,117755,2395,4003,1.80554337688426,2.11654713504789,2.03388391151119
"664","AZ","Coconino County",145101,369,134421,543,116320,158,4005,0.254305621601505,0.403954739214855,0.135832187070151
"665","AZ","Gila County",53272,408,53597,393,51335,434,4007,0.765880762877309,0.73324999533556,0.84542709652284
"666","AZ","Graham County",38533,2474,37220,3341,33489,2806,4009,6.42047076531804,8.97635679742074,8.37887067395264
"667","AZ","Greenlee County",9563,18,8437,33,8547,22,4011,0.188225452263934,0.391134289439374,0.257400257400257
"668","AZ","La Paz County",16557,133,20489,232,19715,255,4012,0.803285619375491,1.13231490067841,1.29343139741314
"669","AZ","Maricopa County",4420568,16949,3817117,18745,3072149,13884,4013,0.383412267382834,0.491077428331382,0.451931205159646
"670","AZ","Mohave County",213267,3065,200186,1912,155032,345,4015,1.43716561868456,0.955111746076149,0.22253470251303
"671","AZ","Navajo County",106717,1355,107449,1703,97470,1486,4017,1.26971335401108,1.58493797057209,1.52457166307582
"672","AZ","Pima County",1043433,8945,980263,8352,843746,6916,4019,0.857266350594624,0.852016244620066,0.819677959954773
"673","AZ","Pinal County",425264,21631,375770,25222,179727,13552,4021,5.08648745250009,6.71208451978604,7.54032504854585
"674","AZ","Santa Cruz County",47669,65,47420,49,38381,43,4023,0.136356961547337,0.103331927456769,0.112034600453349
"675","AZ","Yavapai County",236209,453,211033,551,167517,200,4025,0.191779314082021,0.261096605744125,0.119390867792523
"676","AZ","Yuma County",203881,5645,195751,3483,160026,2765,4027,2.76877197973328,1.779301255166,1.72784422531339
"677","SC","Abbeville County",24295,45,25417,79,26167,48,45001,0.185223296974686,0.310815595861038,0.183437153666832
"678","SC","Aiken County",168808,383,160099,531,142552,431,45003,0.226884981754419,0.331669779324043,0.302345810651552
"679","SC","Allendale County",8039,911,10419,1264,11211,1089,45005,11.3322552556288,12.1316825031193,9.71367407010971
"680","SC","Anderson County",203718,91,187126,497,165740,279,45007,0.0446695922795237,0.265596443038381,0.168335947870158
"681","SC","Bamberg County",13311,14,15987,46,16658,39,45009,0.105176170084892,0.287733783699256,0.234121743306519
"682","SC","Barnwell County",20589,281,22621,70,23478,61,45011,1.36480645004614,0.309446974050661,0.259817701678167
"683","SC","Beaufort County",187117,0,162233,195,120937,163,45013,0,0.120197493728156,0.13478091899088
"684","SC","Berkeley County",229861,1043,177843,1059,142651,2071,45015,0.453752485197576,0.595469037296942,1.45179494009856
"685","SC","Calhoun County",14119,0,15175,0,15185,0,45017,0,0,0
"686","SC","Charleston County",408235,942,350209,1778,309969,1670,45019,0.230749445784903,0.507696832462901,0.538763553774732
"687","SC","Cherokee County",56216,220,55342,79,52537,72,45021,0.391347659029458,0.14274872610314,0.137046272151055
"688","SC","Chester County",32294,49,33140,104,34068,77,45023,0.151730971697529,0.313820156910078,0.226018551133028
"689","SC","Chesterfield County",43273,76,46734,113,42768,56,45025,0.175629145194463,0.241793982967433,0.130939019827909
"690","SC","Clarendon County",31144,1034,34971,1482,32502,1215,45027,3.32006164911379,4.23779703182637,3.73823149344656
"691","SC","Colleton County",38604,0,38892,0,38264,71,45029,0,0,0.185553000209074
"692","SC","Darlington County",62905,185,68681,225,67394,164,45031,0.294094269135999,0.327601520071053,0.243345104905481
"693","SC","Dillon County",28292,95,32062,171,30722,82,45033,0.335783967199208,0.533341650552055,0.266909706399323
"694","SC","Dorchester County",161540,1186,136555,1601,96413,1238,45035,0.734183483966819,1.17242136867929,1.28405920363436
"695","SC","Edgefield County",25657,2043,26985,2803,24595,2413,45037,7.96273921347001,10.3872521771354,9.81093718235414
"696","SC","Fairfield County",20948,55,23956,72,23454,58,45039,0.262554897842276,0.30055101018534,0.247292572695489
"697","SC","Florence County",137059,549,136885,610,125761,540,45041,0.40055742417499,0.445629543047083,0.429385898649025
"698","SC","Georgetown County",63404,108,60158,217,55797,136,45043,0.17033625638761,0.360716779148243,0.243740702905174
"699","SC","Greenville County",525534,1830,451225,2197,379616,1865,45045,0.348217241891105,0.486896780985096,0.49128593104611
"700","SC","Greenwood County",69351,552,69661,838,66271,631,45047,0.795951031708267,1.20296866252279,0.952151016281631
"701","SC","Hampton County",18561,1202,21090,1396,21386,1585,45049,6.47594418404181,6.61925082977715,7.41139062938371
"702","SC","Horry County",351029,458,269291,673,196629,430,45051,0.130473550618325,0.249915518899629,0.218685951716176
"703","SC","Jasper County",28791,977,24777,1367,20678,1240,45053,3.39342155534716,5.51721354481979,5.99671148080085
"704","SC","Kershaw County",65403,0,61697,0,52647,88,45055,0,0,0.167151024749748
"705","SC","Lancaster County",96016,1407,76652,1684,61351,1500,45057,1.46538076987169,2.19694202369149,2.44494792260925
"706","SC","Laurens County",67539,213,66537,190,69567,128,45059,0.315373339848088,0.285555405263237,0.183995285120819
"707","SC","Lee County",16531,1254,19220,1802,20119,1471,45061,7.58574798862743,9.37565036420395,7.31149659525821
"708","SC","Lexington County",293991,151,262391,857,216014,478,45063,0.0513621165273767,0.326611812142947,0.221281953947429
"709","SC","McCormick County",9526,899,10233,1244,9958,1182,45065,9.43732941423472,12.1567477768005,11.8698533842137
"710","SC","Marion County",29183,62,33062,0,35466,103,45067,0.212452455196519,0,0.290418992838211
"711","SC","Marlboro County",26667,2619,28933,3113,28818,1394,45069,9.82112723590955,10.759340545398,4.8372544937192
"712","SC","Newberry County",37719,68,37508,122,36108,68,45071,0.180280495241125,0.325263943692012,0.188323917137476
"713","SC","Oconee County",78607,139,74273,165,66215,63,45073,0.176829035582073,0.222153407025433,0.095144604696821
"714","SC","Orangeburg County",84223,246,92501,307,91582,324,45075,0.292081735392945,0.331888303910228,0.353781310737918
"715","SC","Pickens County",131404,263,119224,207,110757,89,45077,0.200146114273538,0.173622760518017,0.0803560948743646
"716","SC","Richland County",416147,5699,384504,7202,320677,6174,45079,1.36946800049021,1.8730624388823,1.92530178341446
"717","SC","Saluda County",18862,0,19875,0,19181,21,45081,0,0,0.109483342891403
"718","SC","Spartanburg County",327997,1971,284307,2600,253791,2405,45083,0.600920130367046,0.914504391379741,0.947630136608469
"719","SC","Sumter County",105556,703,107456,861,104646,1039,45085,0.665997195801281,0.801258189398451,0.99287120386828
