state,county,latitude,longitude,fips,total_population_20,incarcerated_20,percent_incarcerated_20,total_population_10,incarcerated_10,percent_incarcerated_10,total_population_00,incarcerated_00,percent_incarcerated_00
WV,Nicholas County,38.3307714,-80.7657804,54067,24604,0,0,26233,0,0,26562,0,0
WV,Ohio County,40.1111311,-80.610489,54069,42425,71,0.1673541544,44443,66,0.1485048264,47427,73,0.1539207624
WV,Pendleton County,38.6900889,-84.359802,54071,6143,0,0,7695,0,0,8196,2,0.02440214739
WV,Pleasants County,39.3761707,-81.1416691,54073,7653,678,8.859270874,7605,558,7.337278107,7514,194,2.581847219
WV,Pocahontas County,38.3101706,-80.0087746,54075,7869,220,2.795780912,8719,246,2.821424475,9131,220,2.409374658
WV,Preston County,39.5641007,-79.6951103,54077,34216,3158,9.229600187,33520,2086,6.223150358,29334,19,0.0647712552
WV,Putnam County,41.4351069,-73.7948516,54079,57440,0,0,55486,0,0,51589,0,0
WV,Raleigh County,37.7381597,-81.2518833,54081,74591,2298,3.080800633,78859,2775,3.518938866,79220,2541,3.207523353
WV,Randolph County,35.7449531,-79.8296743,54083,27932,1636,5.857081484,29405,1479,5.029756844,28262,888,3.142028165
WV,Ritchie County,39.1822303,-81.0312989,54085,8444,0,0,10449,0,0,10343,22,0.2127042444
WV,Roane County,35.836117,-84.564147,54087,14028,0,0,14926,0,0,15446,0,0
WV,Summers County,37.5812062,-80.8543847,54089,11959,838,7.007274856,13927,1124,8.070654125,12999,0,0
WV,Taylor County,32.2455088,-99.8124935,54091,16705,352,2.107153547,16895,369,2.18407813,16089,275,1.709242339
WV,Tucker County,39.1083806,-79.6502105,54093,6762,0,0,7141,0,0,7321,0,0
WV,Tyler County,30.7324447,-94.315422,54095,8313,0,0,9208,0,0,9592,9,0.09382819016
WV,Upshur County,32.7099747,-94.976654,54097,23816,0,0,24254,0,0,23404,0,0
WV,Wayne County,42.2790746,-83.336188,54099,38982,0,0,42481,0,0,42903,20,0.0466167867
WV,Webster County,37.3483339,-92.8577105,54101,8378,0,0,9154,0,0,9719,0,0
WV,Wetzel County,39.5655978,-80.6770787,54103,14442,0,0,16583,0,0,17693,0,0
WV,Wirt County,39.0436093,-81.3839326,54105,5194,0,0,5717,0,0,5873,24,0.4086497531
WV,Wood County,44.4747774,-90.0746767,54107,84296,333,0.3950365379,86956,0,0,87986,109,0.1238833451
WV,Wyoming County,42.642052,-78.2020387,54109,21382,0,0,23796,0,0,25708,0,0
VT,Addison County,44.1197293,-73.164338,50001,37363,0,0,36821,19,0.05160098857,35974,6,0.0166787124
VT,Bennington County,43.0278745,-73.1349605,50003,37347,0,0,37125,0,0,36994,0,0
VT,Caledonia County,44.55051,-72.0481907,50005,30233,122,0.4035325638,31227,222,0.7109232395,29702,235,0.7911925123
VT,Chittenden County,44.3959289,-72.9962431,50007,168323,94,0.05584501227,156545,166,0.1060397969,146571,177,0.120760587
VT,Essex County,40.7947466,-74.2648829,50009,5920,0,0,6306,0,0,6459,0,0
VT,Franklin County,40.0154745,-82.9931607,50011,49946,198,0.3964281424,47746,153,0.3204456918,45417,238,0.5240328511
VT,Grand Isle County,44.8595928,-73.2957299,50013,7293,0,0,6970,0,0,6901,0,0
VT,Lamoille County,44.6433418,-72.6314026,50015,25945,0,0,24475,0,0,23233,0,0
VT,Orange County,33.7174708,-117.8311428,50017,29277,0,0,28936,0,0,28226,0,0
VT,Orleans County,43.4088624,-78.2020387,50019,27393,360,1.314204359,27231,413,1.516653814,26277,286,1.088404308
VT,Rutland County,43.6448675,-72.9932969,50021,60572,124,0.2047150499,61642,145,0.2352292268,63400,117,0.1845425868
VT,Washington County,44.8896877,-92.8577105,50023,59807,9,0.01504840571,59534,7,0.01175798703,58039,0,0
VT,Windham County,41.8275622,-72.0468164,50025,45905,0,0,44513,0,0,44216,0,0
VT,Windsor County,43.4369244,-72.6151169,50027,57753,312,0.5402316763,56670,467,0.8240691724,57418,160,0.2786582605
RI,Bristol County,41.7938406,-71.1448516,44001,50793,0,0,49875,0,0,50648,0,0
RI,Kent County,43.0097027,-85.520024,44003,170363,0,0,166158,0,0,167090,0,0
RI,Newport County,41.5016969,-71.2399037,44005,85643,0,0,82888,0,0,85433,0,0
RI,Providence County,41.8881582,-71.4774291,44007,660741,3082,0.4664460053,626667,3783,0.6036698917,621602,3576,0.5752877243
RI,Washington County,44.8896877,-92.8577105,44009,129839,0,0,126979,0,0,123546,0,0
DC,District of Columbia,38.9071923,-77.0368707,11001,689545,2278,0.3303627755,601723,3598,0.5979495549,572059,2838,0.4961026747
PA,Adams County,39.8398269,-104.1930918,42001,103852,248,0.2388013712,101407,304,0.2997820663,91292,184,0.2015510669
PA,Allegheny County,40.657222,-79.828611,42003,1250578,2151,0.172000467,1223348,4586,0.3748728898,1281666,4713,0.3677245086
PA,Armstrong County,40.8790518,-79.4703885,42005,65558,127,0.19372159,68941,159,0.2306319897,72392,57,0.0787379821
PA,Beaver County,40.6367812,-80.365865,42007,168215,78,0.04636922985,170539,339,0.1987815104,181412,302,0.1664718982
PA,Bedford County,35.4702472,-86.4592091,42009,47577,48,0.1008890851,49762,181,0.3637313613,49984,104,0.2080665813
PA,Berks County,40.3451566,-75.9927652,42011,428849,859,0.2003036034,411442,1266,0.3076982904,373638,1149,0.3075169014
